State,2010 average income
Alabama,34073
Alaska,47773
Arizona,34185
Arkansas,31991
California,42411
Colorado,41877
Connecticut,57347
Delaware,41783
Florida,38718
Georgia,34487
Hawaii,41594
Idaho,32050
Illinois,42154
Indiana,34390
Iowa,38687
Kansas,39235
Kentucky,32977
Louisiana,37227
Maine,37102
Maryland,49683
Massachusetts,51643
Michigan,35199
Minnesota,42567
Mississippi,30783
Missouri,36638
Montana,34737
Nebraska,40023
Nevada,36918
New Hampshire,45308
New Jersey,51202
New Mexico,33019
New York,49283
North Carolina,35569
North Dakota,42964
Ohio,36377
Oklahoma,35949
Oregon,35791
Pennsylvania,41918
Rhode Island,42737
South Carolina,32853
South Dakota,40204
Tennessee,35601
Texas,38282
Utah,32614
Vermont,40066
Virginia,45412
Washington,42821
West Virginia,32104
Wisconsin,38815
Wyoming,44846